,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,,,,,,,,,,,,,,
,,,($millions),,Actual,Actual,Actual,Actual,Actual,Forecast,Forecast,Forecast,Forecast,Forecast,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Social security and welfare,,"28,740 ","44,028 ","36,759 ","42,860 ","41,514 ","44,602 ","47,509 ","49,160 ","50,765 ","52,899 ",,,,,,,,,,,,,,
,,,Health,,"18,268 ","19,891 ","22,784 ","27,781 ","28,489 ","30,176 ","30,587 ","31,893 ","33,362 ","33,505 ",,,,,,,,,,,,,,
,,,Education,,"14,293 ","16,322 ","16,039 ","18,023 ","18,403 ","20,159 ","20,538 ","20,609 ","20,625 ","20,551 ",,,,,,,,,,,,,,
,,,Core government services,,"5,166 ","6,083 ","5,754 ","5,720 ","6,806 ","8,198 ","6,908 ","6,338 ","5,732 ","5,627 ",,,,,,,,,,,,,,
,,,Law and order,,"4,625 ","4,911 ","5,202 ","5,444 ","6,165 ","6,687 ","6,656 ","6,552 ","6,489 ","6,476 ",,,,,,,,,,,,,,
,,,Transport and communications,,"2,889 ","3,179 ","5,656 ","4,657 ","5,472 ","5,971 ","6,019 ","4,352 ","3,675 ","4,007 ",,,,,,,,,,,,,,
,,,Economic and industrial services,,"3,006 ","3,988 ","4,481 ","8,078 ","3,690 ","4,294 ","3,529 ","3,417 ","3,402 ","3,287 ",,,,,,,,,,,,,,
,,,Defence,,"2,395 ","2,499 ","2,664 ","2,832 ","2,886 ","3,184 ","3,215 ","3,254 ","3,248 ","3,249 ",,,,,,,,,,,,,,
,,,"Heritage, culture and recreation",,918 ,"1,106 ","1,420 ","1,468 ","1,537 ","1,602 ","1,429 ","1,417 ","1,366 ","1,342 ",,,,,,,,,,,,,,
,,,Primary services,,960 ,961 ,"1,015 ",949 ,"1,156 ","1,345 ","1,118 ","1,035 ",954 ,859 ,,,,,,,,,,,,,,
,,,Housing and community development,,727 ,"1,015 ","1,813 ","2,033 ","2,312 ","2,834 ","2,531 ","2,294 ","2,350 ","2,088 ",,,,,,,,,,,,,,
,,,Environmental protection,,"1,119 ","1,485 ","1,906 ","2,549 ","2,381 ","2,839 ","2,849 ","2,579 ","2,602 ","2,724 ",,,,,,,,,,,,,,
,,,GSF pension expenses,,66 ,73 ,99 ,94 ,61 ,60 ,50 ,48 ,47 ,45 ,,,,,,,,,,,,,,
,,,Other,,96 ,63 ,254 ,269 ,133 ,135 ,737 ,140 ,140 ,140 ,,,,,,,,,,,,,,
,,,Finance costs,,"3,691 ","3,228 ","1,918 ","2,884 ","6,569 ","8,939 ","9,224 ","9,556 ","10,445 ","11,278 ",,,,,,,,,,,,,,
,,,Forecast new operating spending,, ..  , ..  , ..  , ..  , ..  , ..  ,"3,796 ","5,464 ","6,264 ","8,627 ",,,,,,,,,,,,,,
,,,Top-down operating expense adjustment,, ..  , ..  , ..  , ..  , ..  ,"( 2,700)","( 2,800)",( 450),( 350),( 350),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Core Crown expenses,,"86,959 ","108,832 ","107,764 ","125,641 ","127,574 ","138,325 ","143,895 ","147,658 ","151,116 ","156,354 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,The classifications of the functions of the Government reflect current approved baselines. Forecast new operating spending is shown as a separate line item in the above analysis and will be allocated to,,,,,,,,,,,,,,,,,,,,,,,,,
,,,functions of the Government once decisions are made in future Budgets.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Source:                The Treasury,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 5.1,,,Social security and welfare expenses,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,,,,,,,,,,,,,,
